citrus-recipes,"Place all ingredients into a blender. Pulse into a paste, scraping down the sides of the blender once or twice to get all the good bits mixed in. Refrigerate, and freeze any paste you wonâ€™t use within the week."
citrus-recipes,"Place all ingredients into a blender. Pulse into a paste, scraping down the sides of the blender once or twice to get all the good bits mixed in. Refrigerate, and freeze any paste you wonâ€™t use within the week."
citrus-recipes,"Place the lemon peel (no pith!), sugar, and rose geranium in a medium bowl.Â "
citrus-recipes,Massage aggressively with clean hands for 5-10 minutes. Until sugar and citrus begin to meld and the peels begin to release their essential oils.Â 
citrus-recipes,"Cover and place in the refrigerator for 24 hours. Stir in lemon juice, re-cover, and refrigerate for another 12 hours or so, stirring whenever you remember. Strain syrup into container, pressing on the solids to get every last drop. Chop and save the peel solids for use in baked goods like biscotti, muffins, granola, shortbread, cakes, and the like."
citrus-recipes,Place the orange peel (no pith!) and sugar in a medium bowl.Â 
citrus-recipes,Massage aggressively with clean hands for 5-10 minutes. Until sugar and citrus begin to meld and the peels begin to release their essential oils.Â 
citrus-recipes,"Cover and place in the refrigerator for 24 hours. Stir in orange juice, re-cover, and refrigerate for another 12 hours or so, stirring whenever you remember. Strain syrup into container, pressing on the solids to get every last drop. Chop and save the peel solids for use in baked goods like biscotti, muffins, granola, shortbread, cakes, and the like."
Recipe          ,Instruction
how-to-make-ghee,"To make ghee, gently melt the butter in a saucepan over medium-low heat. After melting, the butter will separate into three layers. This should only take a few minutes. Foam will appear on the top layer, the milk solids will migrate to the bottom of the pan, and clarified butter will float between the two.Â "
how-to-make-ghee,"Let the butter come to a simmer and hold it here until the middle layer becomes fragrant, more golden than when you started, and clear - push the solids on top out of the way to have a peek. The milk solids at the bottom will begin to brown. At this point it is a matter of preference, you can let the solids lightly brown, or let things progress a bit further.Â "
how-to-make-ghee,"When the ghee is finished, skim absolutely all of the top layer of foam into a bowl with a spoon or strainer, turn off the heat, and allow things to settle for a minute or so. Next, carefully pour the golden central layer through a strainer, into a clean glass jar, leaving the milk solids at the bottom of the pan.Â "
how-to-make-ghee,"If you were able to get all the solids out, and use clean and dry utensils in the jar, ghee will keep at room temperature for weeks. It can be used as a cooking oil, finishing element, and is also a traditional body moisturizer and massage medium :). Enjoy!"
Recipe             ,Instruction
steaming-vegetables,"Wash your vegetables well, and cut them into bite-sized pieces. I tend to leave peels on, but it is a personal preference. Arrange them, in a single layer, in steamer trays according to needed cooking time. For example:"
steaming-vegetables,"Bottom tray: equal-sized chunks of slower-cooking vegetables. For example: sweet potato, potato, winter squash, beets. These usually cook through in about ten minutes. Middle-tray: equal sized pieces of broccoli, cauliflower.Â Top-tray/last minute: asparagus, fava beans (inner pods), snap peas."
steaming-vegetables,"Bring an inch of water to a simmer in a skillet large enough to accommodate the diameter of your steamer. Alternately, you can use a wok. The water should not be so high that it makes contact with the vegetables when the steamer is placed in the skillet - do a quick test if you're unsure, and remove some water if needed."
steaming-vegetables,"The goal here is to have your vegetables perfectly cooked and ready to serve just before you sit down. And, ideally, all of the vegetables finish cooking at the same time. Here's how you do it. Roughly ten minutes before you're ready to serve, place the slow-cooking, bottom tray vegetables over the simmering water, covered. Let them steam there until they're about 2/3 cooked, about 6-7 minutes. Test, and cut into any root vegetables toward the end to make sure they're going to be cooked through."
steaming-vegetables,"The mid tray only needs 3-4 minutes, so add that next, moving the lid up a level. And the top tray vegetables, like snap peas and asparagus, just need a kiss of steam to brighten, barely a minute. Add that last. Or if you only have two baskets, add these to the broccoli/cauliflower basket to finish. You'll have to make slight adjustments based on the sizes of your vegetables, but this is the general idea. Cook them until they're bright, just tender, and taste good to you."
steaming-vegetables,"I like to quickly arrange the steamed vegetables, nested, in one basket to serve along with a drizzle of good oil - toasted sesame, shallot, olive oil, herb, etc. With a sprinkle of flaky sea salt."
Recipe                  ,Instruction
homemade-bouillon-recipe,"Place the first four ingredients in your food processor and pulse about twenty times. Add the next four ingredients, and pulse again. Add the salt, pulse some more. Then add the parsley and cilantro. You may need to scoop some of the chopped vegetables on top of the herbs, so they get chopped. Mine tended to want to stay on top of everything else, initially escaping the blades."
homemade-bouillon-recipe,"You should end up with a moist, loose paste of sorts. Keep 1/4th of it in a jar in the refrigerator for easy access in the coming days, and freeze the remaining 3/4 for use in the next month. Because of all the salt it barely solidifies making it easy to spoon directly from the freezer into the pot before boiling."
homemade-bouillon-recipe,"Start by using 1 teaspoon of bouillon per 1 cup (250 ml), and adjust from there based on your personal preference."
Recipe      ,Instruction
spoon-butter,"To make the spoon butter: Place the coconut oil in a mason jar and top with the beeswax. Fill a thick-bottomed saucepan with an inch or so of water, and set over gentle (low-medium) heat. Set the beeswax jar in the water. The water should come up the sides a bit. Allow the water to come barely to a simmer, and allow the mixture to melt, stirring occasionally, until all the beeswax is fluid. Turn off the heat, and allow to set. The oil is hot, so I allow it to cool and set in the pan, instead of moving it at this point. When cool, cover and keep in a dark place until ready to use."
spoon-butter,"To treat cutting boards, wooden spoons, etc: Start by making sure your wood surface is scrubbed very clean and is completely dry. Use your hands (or a cloth) to slather a generous amount of the spoon butter across the wood, working across the entire surface. Let sit over night. You can then use a smooth cloth to buff off all residual oil at this point. You should have a nice, satiny surface, not at all greasy. Reapply any time you sense your wood utensils and boards seem at all dry."
Recipe   ,Instruction
guacamole,"Sprinkle the garlic with the salt and smash and chop into a paste. Then use a spoon to remove all the avocado flesh into a wide, medium bowl. Be sure you get all the avocado near the skin, it's the best part. Sprinkle the avocado with the onions and garlic, and use a large fork to fold everything together. I like a chunky guacamole, so I tend to fold, chop with the edge of the fork, fold, chop. After a few folds add the lime juice, and fold some more. Taste and adjust with more salt or lime juice, and serve topped with cilantro and chives (or chive blossoms)."
guacamole,"You can store any uneaten guacamole in a refrigerator. Any surface area exposed to air will likely brown, so (preferably) use a glass jar (Weck) where the lid comes in contact with the avocado, or a piece of plastic wrap pressed to suface."
