be_matched_ingredient,matched_grocery,price_list,avg_mid_price
chopped parsley or cilantro,"][chopped kale, 86][cilantro bunch, 86][organic cilantro, 86][ready pac kale cranberry pecan chopped salad kit, 86][ready pac foods mediterranean chopped salad kit, 86","[0.19511807968394507, 1.39, 5.199668424487205, 0.647348277747403, 0.6350087944472327]",0.89
/ 4T. sunflower seeds kernels,"][21 seeds cucumber jalapeno infused blanco tequila, 86][21 seeds valencia orange infused blanco tequila, 86][21 seeds grapefruit hibiscus infused blanco tequila, 86][gomacro sunflower butter & chocolate macrobar, 86][dave's killer bread organic 21 whole grains and seeds bread, 86","[2.365211333333333, 2.365211333333333, 2.365211333333333, 2.621678014411726, 0.5078740580876594]",2.37
/ 1 oz / 30g freshly grated Parmesan,"][tyson trimmed & ready chicken tenderloins1.25-2.1 lbs, 86][smart chicken organic boneless & skinless chicken breast0.75-1.75lbs, 86][smart chicken organic chicken tenderloins0.75-1.75lbs, 86][smart chicken organic boneless & skinless thin sliced chicken breast0.75-1.5lbs, 86][tyson trimmed & ready boneless & skinless thin sliced chicken breasts0.76-1.988 lbs, 86","[11.11, 19.23, 19.23, 16.49, 10.51]",15.61
/ 3.5 oz / 1/2 cup cubed feta,"][ready pac foods bistro greek feta chopped salad bowl, 86][boneless & skinless chicken breasts1.65-3.975 lbs, 86][tyson trimmed & ready boneless & skinless chicken breast1-2.11lbs, 86][tyson trimmed & ready chicken tenderloins1.25-2.1 lbs, 86][smart chicken organic boneless & skinless chicken breast0.75-1.75lbs, 86","[2.11002599051771, 11.89, 10.53, 11.11, 19.23]",11.18
whole-grain mustard,"][giorgio fresh whole white mushrooms, 86][spice world fresh whole garlic, 86][genius juice whole coconut smoothie original, 86][genius juice whole coconut smoothie mocha, 86][genius juice whole coconut smoothie vanilla, 86","[0.12333550856276125, 1.59, 0.24972357008808566, 0.24972357008808566, 0.24972357008808566]",0.25
large eggs,"][grade a large eggs, 90][vital farms alfresco pasture-raised grade a large eggs, 90][eggland's best grade a large eggs, 90][grade a extra large eggs, 90][vital farms organic pasture-raised grade a large eggs, 90","[1.69, 5.69, 2.79, 1.99, 6.99]",3.49
/ 180 ml milk,"][rebbl elixir organic vegan maca mocha coconut milk, 86][rebbl elixir organic turmeric golden coconut milk, 86][miyoko's organic oat milk cultured butter, 86][ghirardelli milk chocolate & the collection rose, 86][left hand milk stout nitro beer, 86","[1.9951011885640861, 2.081240409883772, 3.124468685514735, 3.310034, 0.9516966202850525]",2.4
flour (see headnote!),"][king arthur flour gluten free pancake mix, 86][simple mills gluten free pancake & waffle almond flour mix, 86][mission extra fluffy fajita flour tortillas, 86][mission carb balance fajita size whole wheat flour tortillas, 86][mama lupe's taco size authentic flour tortillas, 86","[5.552756368425075, 12.464140444547887, 2.5148756297877095, 7.2817333639041255, 2.4017433190081734]",5.12
aluminum free baking powder,"][once upon a farm organic berry berry kids' dairy-free smoothie, 86][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86][once upon a farm organic dairy-free strawberry banana swirl kids' smoothie, 86][once upon a farm organic dairy-free go-go greens kids' smoothie, 86][once upon a farm organic dairy-free tropical twirl kids' smoothie, 86","[1.2999171061218013, 1.2999171061218013, 1.2999171061218013, 1.2999171061218013, 1.2999171061218013]",1.3
fine-grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[4.19, 5.29, 5.99, 8.49, 5.99]",5.76
Spicy Turmeric Oil,"][spicy hatch chile jalapeno chopped salad, 86][good foods plant based spicy queso blanco style dip, 86][gt's synergy tantric turmeric organic kombucha, 86][sol-ti organic turmeric supershot, 86][bolthouse farms carrot ginger turmeric juice, 86","[0.4165999400342158, 0.5211849709283526, 0.2120648553603733, 1.7465636465078536, 0.1771322654616998]",0.38
dried ramen noodles,"][bustelo supreme freeze dried medium roast coffee, 86][quick bites cheese, chocolate, dried cranberry & banana, 86][maruchan instant lunch hot & spicy chicken ramen noodle soup cup, 86][maruchan instant lunch lime chili and shrimp ramen noodle soup cup, 86][mike's mighty good vegetarian miso ramen noodle soup cup, 86","[15.765176004615853, 9.857528351470043, 2.0837051799855377, 2.0837051799855377, 14.07208136257201]",8.67
cashew milk or almond milk,"][everything seasoned cashew plant based dip + spread, 86][french onion cashew plant based dip + spread, 86][buffalo cashew queso plant based dip + spread, 86][rebbl elixir organic vegan maca mocha coconut milk, 86][rebbl elixir organic turmeric golden coconut milk, 86","[17.901797209827333, 17.901797209827333, 17.901797209827333, 10.640539672341793, 11.099948852713451]",15.63
Miso Tare (recipe below),"][cleveland kraut gnarly miso jalapeno dressing, 86][hatfield recipe essentials blended ground pork with mushrooms, 86][hatfield recipe essentials blended mild taco seasoned ground pork with mushrooms, 86][royal asia sockeye salmon with miso glazefrozen, 86][royal asia chilean sea bass with miso glazefrozen, 86","[0.6512636907176494, 0.3904226076045686, 0.3904226076045686, 1.4531775566714458, 2.6091404111873766]",0.83
small cucumbers,"][cucumber, 90][small tail off peeled & deveined cooked shrimpfrozen, 86][small tail-off, peeled, deveined cooked shrimpfrozen71-90ct/lb, 86][miami cocktail small batch blood orange mimosa, 86][miami cocktail small batch sunset wine sangria, 86","[0.59, 6.49, 11.99, 12.99, 12.99]",10.49
basket of halved cherry tomatoes (fresh or roasted),"][ocean spray fresh cranberries, 86][fresh garden highway fruit burst, 86][fresh garden highway mango spears, 86][crazy fresh cantaloupe chunks, 86][crazy fresh watermelon spears, 86","[2.49, 8.99, 5.99, 5.99, 5.99]",5.99
of a bunch of broccoli florets (toss into noodle water at the last minute),"][broccoli florets, 90][broccoli & cauliflower, 86][hearts of romaine, 86][cauliflower florets, 86][organic on-the-vine tomatoes, 86","[2.79, 2.79, 2.99, 2.79, 3.19]",2.86
of fresh corn,"][ocean spray fresh cranberries, 86][fresh garden highway fruit burst, 86][fresh garden highway watermelon spears, 86][fresh garden highway pineapple spears, 86][fresh garden highway mango spears, 86","[2.597638406321099, 3.5169833242208854, 3.904281821548881, 3.904281821548881, 4.686703028272103]",3.78
cubed tofu,"][organic extra-firm tofu, 86][hodo plant-based organic vegan moroccan tofu cubes, 86][hodo organic vegan firm tofu, 86][frick's quality meats cubed ham, 86][cubed cheese tray, 86","[1.779449373004815, 9.686374539233496, 6.24685091447821, 5.461300022928094, 5.210925236776663]",5.64
arugula,"][organic baby arugula, 90][organic girl baby arugula, 90][revol greens baby arugula, 90][taylor farms organic baby arugula, 90][signature wood-fired tomato & arugula frozen pizza, 90","[3.49, 3.99, 3.49, 3.69, 5.99]",3.72
torn fresh basil,"][ocean spray fresh cranberries, 86][fresh garden highway fruit burst, 86][fresh garden highway watermelon spears, 86][fresh garden highway pineapple spears, 86][fresh garden highway mango spears, 86","[2.49, 8.99, 4.99, 4.99, 5.99]",5.32
sliced scallions,"][crazy fresh sliced mango, 86][sliced baby bella mushrooms, 86][giorgio baby bella sliced mushrooms, 86][smart chicken organic boneless & skinless thin sliced chicken breast0.75-1.5lbs, 86][tyson trimmed & ready boneless & skinless thin sliced chicken breasts0.76-1.988 lbs, 86","[5.99, 2.39, 2.49, 16.49, 10.51]",6.33
chopped peanuts,"][chopped pecans, 90][chopped walnuts, 87][chopped caesar salad kit, 86][avocado toast chopped salad kit, 86][asian style chopped salad kit, 86","[4.99, 3.79, 3.99, 3.99, 3.99]",3.99
sliced green beans (toss into noodle water at the last minute),"][green beans, 90][extra large green seedless grapes, 86][organic green grapes, 86][green bell peppers, 86][green bell pepper, 86","[2.79, 3.79, 5.99, 1.99, 0.79]",2.86
shredded kale massaged with a bit of lemon juice and olive oil,"][hearts of romaine, 86][shredded iceberg lettuce, 86][chopped kale, 86][sweet kale chopped salad kit, 86][shredded green leaf lettuce, 86","[2.99, 1.79, 2.99, 3.99, 2.19]",2.72
roasted brussels sprouts*,"][brussels sprouts, 90][oven roasted turkey breast ultra-thin deli slices, 86][lower sodium oven roasted turkey breast ultra-thin deli slices, 86][oscar mayer deli fresh sliced oven roasted turkey breast, 86][applegate organic oven roasted turkey breast, 86","[2.79, 2.59, 4.79, 3.99, 5.99]",3.86
roasted sweet potatoes*,"][sweet potatoes, 90][crunch pak sweet apple snackers with pretzels & cheese, 86][sweet corn, 86][red potatoes, 86][savory garden herb mini creamer potatoes, 86","[2.99, 2.69, 4.19, 2.99, 3.99]",3.32
roasted onion*,"][organic yellow onion, 86][organic green onion bunch, 86][french onion cashew plant based dip + spread, 86][oven roasted rotisserie chicken, 86][oven roasted turkey breast ultra-thin deli slices, 86","[3.49, 1.19, 4.29, 6.79, 2.59]",3.46
toasted hazelnuts,"][toasted head chardonnay white wine, 86][toasted head cabernet sauvignon red wine, 86][blue point toasted lager beer, 86][reformation stark toasted porter beer, 86][starbucks toasted graham blonde light roast coffeekeruig k-cup pods, 86","[1.0400935999999998, 1.0400935999999998, 0.21321081373526973, 0.39968693819354034, 16.79]",0.83
toasted nori,"][toasted head chardonnay white wine, 86][toasted head cabernet sauvignon red wine, 86][blue point toasted lager beer, 86][reformation stark toasted porter beer, 86][starbucks toasted graham blonde light roast coffeekeruig k-cup pods, 86","[10.99, 10.99, 15.99, 11.99, 16.79]",12.99
shaved radish,"][shaved brussels sprouts, 86][old neighborhood shaved beef steak, 86][oscar mayer premium shaved smoked ham, 86][oscar mayer premium shaved oven roasted turkey breast, 86][alani hawaiian shaved ice energy drink, 86","[2.79, 6.49, 4.69, 4.69, 2.69]",4.06
shredded cabbage,"][shredded iceberg lettuce, 86][shredded green leaf lettuce, 86][ready pac foods shredded iceberg lettuce, 86][follow your heart dairy-free shredded parmesan, 86][shredded rotisserie seasoned chicken, 86","[1.79, 2.19, 1.79, 4.99, 7.49]",2.99
shredded kale massaged with a bit of lemon juice and toasted sesame oil,"][hearts of romaine, 86][shredded iceberg lettuce, 86][chopped kale, 86][sweet kale chopped salad kit, 86][shredded green leaf lettuce, 86","[2.99, 1.79, 2.99, 3.99, 2.19]",2.72
roasted cauliflower,"][tattooed chef frozen cauliflower crust plant based pepperoni vegan pizza, 86][tattooed chef frozen cauliflower crust mozzarella & cheddar cheese vegan pizza, 86][frozen buffalo style cauliflower wings, 86][oven roasted rotisserie chicken, 86][oven roasted turkey breast ultra-thin deli slices, 86","[7.99, 7.99, 4.99, 6.79, 2.59]",6.59
asparagus,"][asparagus, 100][asparagus spears, 90][bertolli frozen shrimp penne & asparagus, 90][ragu old world style traditional pasta sauce, 67][ragu simply traditional pasta sauce, 67","[3.19, 3.19, 6.99, 3.29, 1.99]",3.22
peas,"][sugar snap peas, 90][organic sugar snap peas, 90][snow peas, 90][chickpeas garbanzo beans, 90][biena sea salt chickpeas, 90","[2.79, 3.29, 2.79, 0.69, 3.49]",2.96
fava beans,"][organic green beans, 86][vegan chipotle ranch with black beans salad kit, 86][raven's brew dharma beans medium roast whole bean coffee, 86][chickpeas garbanzo beans, 86][low sodium black beans , 86","[3.49, 4.99, 13.99, 0.69, 0.69]",3.06
toasted pine nuts or sliced almonds,"][sliced almonds, 90][pine nuts, 90][mango sliced, 86][mangos sliced, 86][sliced white mushrooms, 86","[3.99, 3.19, 5.99, 5.99, 1.99]",4.39
white miso,"][sliced white mushrooms, 86][giorgio fresh whole white mushrooms, 86][whole white mushrooms, 86][cleveland kraut gnarly miso jalapeno dressing, 86][tyson all natural white meat fun nuggetsfrozen, 86","[2.076024268505617, 1.9717014409425209, 1.9717014409425209, 3.470472730265672, 1.6662873699043528]",2.01
crushed chile flakes,"][spicy hatch chile jalapeno chopped salad, 86][barsmith hatch chile margarita mix, 86][rahr & sons paleta de mango chile beer, 86][st. george green chile flavored vodka, 86][ancho reyes ancho chile liqueur, 86","[0.2082999700171079, 0.10931661791806856, 0.06943716502950277, 0.552336, 0.7891360000000001]",0.29
scallions (or shallots),"][shallots, 90][essentia water 9.5 ph or higher ionized alkaline water, 86][21st amendment brew free! or die blood orange ipa beer, 86][21st amendment brew free! or die ipa beer, 86][maranatha no added sugar or salt no stir almond butter, 86","[2.99, 11.49, 9.99, 9.99, 7.99]",9.32
piece of ginger,"][kevita lemon ginger sparkling probiotic drink, 86][kevita ginger master brew kombucha, 86][health ade organic vegan ginger lemon kombucha, 86][kor wellness ginger shot, 86][health-ade organic vegan blood orange carrot ginger kombucha, 86","[2.99, 2.99, 3.49, 3.69, 3.49]",3.32
medium garlic cloves,"][garlic parsley mini creamer potatoes, 86][spice world premium minced squeeze garlic, 86][spice world fresh whole garlic, 86][tessemae's organic lemon garlic dressing, 86][cleveland kraut dijon garlic dressing, 86","[3.99, 3.69, 1.59, 4.99, 4.99]",4.22
mirin,"][marine harvest skinless tilapia fillet, 72][marine harvest skin-on salmonfrozen, 72][smirnoff vodka, 72][smirnoff twist of vanilla flavored vodka, 72][smirnoff raspberry flavored vodka, 72","[0.21708789690588315, 0.695725380224225, 0.47320533333333337, 0.47320533333333337, 0.47320533333333337]",0.47
spicy paste (for ex: fermented gochujang paste or a favorite curry paste),"][spicy hatch chile jalapeno chopped salad, 86][raised & rooted alt-protein frozen spicy nuggets, 86][morningstar farms frozen spicy popcorn chik'n, 86][impossible spicy original ground sausage roll, 86][tyson air fried spicy chicken bitesfrozen, 86","[0.2082999700171079, 0.3256318453588247, 0.2864777156563608, 0.21590705807358662, 0.23466375068343362]",0.25
segment of ginger,"][kevita lemon ginger sparkling probiotic drink, 86][kevita ginger master brew kombucha, 86][health ade organic vegan ginger lemon kombucha, 86][health-ade organic vegan blood orange carrot ginger kombucha, 86][bolthouse farms carrot ginger turmeric juice, 86","[2.99, 2.99, 3.49, 3.49, 2.69]",3.16
turmeric powder,"][gt's synergy tantric turmeric organic kombucha, 86][sol-ti organic turmeric supershot, 86][bolthouse farms carrot ginger turmeric juice, 86][rebbl elixir organic turmeric golden coconut milk, 86][sol-ti chlorophyll aloe superade + turmeric supershots, 86","[0.10603242768018666, 0.8732818232539268, 0.0885661327308499, 0.1735833083475899, 149.99]",0.38
seeds (blend of sesame and hemp),"][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic ohmymega veggie! fruit & veggie blend, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][once upon a farm organic mama blueberry fruit & veggie blend, 86][once upon a farm organic pear-y blueberry & spinach smart blend 12+ months, 86","[1.2186722869891886, 1.2186722869891886, 1.2186722869891886, 1.2186722869891886, 1.1142146623901155]",1.22
crushed red pepper flakes,"][crushed red pepper, 95][red bell pepper, 86][red grapefruit, 86][red onion, 86][red potatoes, 86","[0.4141636830749513, 1.49, 0.99, 0.99, 0.03251967994732418]",0.8
